Obstacles					Terrain		Terrain modifiers									Adjacent																																																																																																													Overlap																																																																																																												
Name	Id	Type	Id	Subtype	Name	Id	dirt	sand	grass	snow	swamp	rough	cave	lava	water	dirt oak tree	dirt crater	dirt log	dirt flower	dirt lake	dirt mound	dirt mountain	dirt outcropping	dirt pine tree	dirt rock	dirt shrub	dirt stump	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	sand cactus	sand crater	sand sand dune	sand mountain	sand tree	sand skull	sand sand pit	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	grass oak tree	grass crater	grass log	grass flower	grass lake	grass mound	grass mountain	grass outcropping	grass pine tree	grass rock	grass shrub	grass stump	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	snow dead vegetation	snow frozen lake	snow mountain	snow outcropping	snow stump	snow rock	snow shrub	snow pine tree	snow crystal mine	snow gold mine	snow sawmill	swamp crater	swamp dead vegetation	swamp lake	swamp mandrake	swamp mountain	swamp rock	swamp shrub	swamp oak tree	swamp tree	swamp moss	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	rough rock	rough cactus	rough crater	rough mound	rough mountain	rough outcropping	rough tree	rough shrub	rough skull	rough log	rough stump	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	cave crater	cave dead vegetation	cave mushroom	cave lake	cave lava lake	cave lava flow	cave mountain	cave outcropping	cave rock	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	lava crater	lava dead vegetation	lava lava lake	lava lava flow	lava mountain	lava volcano	lava crystal mine	lava gold mine	lava sawmill	water rock	water reef	dirt oak tree	dirt crater	dirt log	dirt flower	dirt lake	dirt mound	dirt mountain	dirt outcropping	dirt pine tree	dirt rock	dirt shrub	dirt stump	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	sand cactus	sand crater	sand sand dune	sand mountain	sand tree	sand skull	sand sand pit	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	grass oak tree	grass crater	grass log	grass flower	grass lake	grass mound	grass mountain	grass outcropping	grass pine tree	grass rock	grass shrub	grass stump	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	snow dead vegetation	snow frozen lake	snow mountain	snow outcropping	snow stump	snow rock	snow shrub	snow pine tree	snow crystal mine	snow gold mine	snow sawmill	swamp crater	swamp dead vegetation	swamp lake	swamp mandrake	swamp mountain	swamp rock	swamp shrub	swamp oak tree	swamp tree	swamp moss	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	rough rock	rough cactus	rough crater	rough mound	rough mountain	rough outcropping	rough tree	rough shrub	rough skull	rough log	rough stump	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	cave crater	cave dead vegetation	cave mushroom	cave lake	cave lava lake	cave lava flow	cave mountain	cave outcropping	cave rock	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	lava crater	lava dead vegetation	lava lava lake	lava lava flow	lava mountain	lava volcano	lava crystal mine	lava gold mine	lava sawmill	water rock	water reef
dirt rock	10	rock	147	0	dirt	0	10	0	0	-10	-5000	10	10	-5000	5	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	10	10	30	5	10	30	10	10	10	10	30	30	10	10	10	-5000	-5000	10	-5000	10	10	-5000	-5000	10	10	10	10	10	5	5	10	10	10	10	10	5	5	10	30	10	10	10	30	30	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	30	30	30	5	30	30	10	10	10	10	10	30	30	30	30	10	10	10	-5000	-5000	-5000	-5000	-5000	-5000	10	30	-5000	10	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	-5000	-5000	-5000	-5000	10	0	0	10	0	0	0	0	10	10	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	0	-5000	0	-5000	0	0	0	-5000	0	0	-5000	-5000	0	0	-5000	10	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	0	-5000	-5000	-5000	-5000	0	0	0	-5000	0	0	0	-5000	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000
dirt shrub	11	shrub	150	0	dirt	0	5	-5000	5	-5000	0	5	-5000	-5000	-5000	10	5	5	5	5	5	5	5	10	5	5	5	10	30	5	5	10	-5000	5	-5000	5	-5000	-5000	-5000	10	5	5	-5000	10	5	5	-10	5	5	5	5	10	5	-10	5	10	10	5	5	10	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	-10	5	5	-10	5	5	-10	-10	5	5	10	5	-5000	5	5	5	5	10	-10	-5000	5	5	10	5	5	10	5	-5000	-5000	5	-5000	-5000	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	5	5	-5000	10	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt stump	12	stump	153	0	dirt	0	5	0	5	-10	5	5	5	0	-5000	10	5	5	5	5	5	5	5	10	5	5	-5000	10	30	5	5	30	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	10	5	5	5	10	10	5	5	30	10	5	5	5	5	5	5	10	5	5	10	5	10	5	5	5	5	5	10	10	5	5	5	5	30	5	5	5	5	5	5	10	5	5	5	5	5	5	5	30	5	10	5	5	5	5	5	5	5	5	5	5	30	5	10	5	5	5	5	5	5	30	5	5	-5000	0	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
dirt tree	13	tree	155	0	dirt	0	10	-5000	10	-10	0	5	-5000	-5000	-5000	30	10	10	30	30	10	10	10	30	10	30	30	30	30	10	10	30	-5000	-5000	-5000	10	-5000	10	-5000	-5000	10	10	-5000	30	10	30	30	30	10	10	10	30	10	30	30	-5000	-5000	10	10	30	30	30	10	10	30	10	30	-5000	10	10	-5000	10	30	30	30	10	10	30	30	-5000	30	30	10	10	30	10	-5000	10	10	10	10	30	30	10	30	30	-5000	10	10	30	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	30	-5000	-5000	-5000	-5000	10	10	30	10	10	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	0	30	30	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000
dirt dirt veg clump	14	dirt veg clump	207	0	dirt	0	10	-10	10	-5000	5	-10	-5000	-5000	-5000	30	10	10	30	30	10	10	10	30	10	30	30	30	30	10	10	30	10	10	-5000	10	-5000	10	10	-5000	10	10	-5000	30	10	30	30	30	10	10	10	30	10	30	30	30	30	10	10	30	-5000	30	10	10	30	10	30	-5000	10	10	-5000	10	-5000	30	30	10	10	30	30	30	30	30	10	10	30	10	-5000	10	10	10	10	30	30	10	30	30	-5000	10	10	30	10	-5000	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	-5000	-5000	-5000	-5000	-5000	10	10	30	10	10	10	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	10	30	30	10	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	10	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	10	10	-5000	0	30	30	10	-5000	-5000	-5000	-5000	30	-5000	10	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000
dirt crystal mine	15	mine	53	4	dirt	0	10	5	0	-10	-10	5	5	-5000	-5000	10	10	10	10	10	10	100	30	10	30	10	10	10	10	100	100	10	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	10	30	30	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	10	5	5	30	30	10	5	5	30	-5000	-5000	-5000	-5000	-5000	30	10	30	10	-5000	-5000	-5000	30	30	30	30	-5000	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	0	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	-5000	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	0	10	10	0	-5000	30
dirt gold mine	16	mine	53	6	dirt	0	10	5	0	-10	-10	5	5	-5000	-5000	10	10	10	10	10	10	100	30	10	30	10	10	10	10	100	100	10	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	10	30	30	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	10	5	5	30	30	10	5	5	30	-5000	-5000	-5000	-5000	-5000	30	10	30	10	-5000	-5000	-5000	30	30	30	30	-5000	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	0	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	-5000	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	0	10	10	0	-5000	30
dirt sawmill	17	mine	53	0	dirt	0	10	-5000	10	0	0	0	-5000	-5000	-5000	100	10	30	30	30	10	10	10	30	10	30	30	30	30	10	10	100	-5000	-5000	-5000	10	-5000	10	-5000	-5000	10	10	-5000	30	10	30	30	30	10	10	10	30	10	30	30	-5000	-5000	10	10	100	30	30	10	10	30	10	30	-5000	10	10	-5000	10	30	30	30	10	10	30	30	-5000	30	30	10	10	100	10	-5000	10	10	10	10	30	30	10	30	30	-5000	10	10	100	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	30	-5000	-5000	-5000	-5000	10	10	30	10	10	30	-5000	-5000	0	-5000	0	30	0	10	0	0	-5000	0	10	30	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	-5000	30	0	10	0	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	30	0	-5000	0	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	30	0	-5000	10	-5000	-5000	-5000	30	30	30	0	-5000	-5000	-5000	30	0	10	-5000	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	0	0	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000
sand cactus	18	cactus	116	0	sand	1	-5000	5	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	5	5	-5000	-5000	5	5	5	-5000	5	-5000	5	-5000	10	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	-5000	-5000	5	5	5	-5000	5	-5000	5	-5000	-5000	5	5	-5000	5	-5000	5	5	5	5	-5000	-5000	5	5	-5000	5	5	-5000	-5000	5	5	-5000	-5000	-5000	-5000	-5000	5	5	-5000	5	5	5	5	5	5	-5000	-5000	5	5	5	5	5	5	-5000	5	5	5	-5000	-5000	-5000	5	5	5	5	5	5	5	5	5	-5000	-5000	5	-5000	5	5	5	10	10	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000
sand crater	19	crater	118	0	sand	1	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	10	5	5	-5000	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand sand dune	20	sand dune	148	0	sand	1	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	10	10	10	-5000	10	-5000	10	-5000	-5000	10	10	-5000	5	5	5	5	5	5	5	10	5	5	5	-5000	5	5	-5000	-5000	-10	5	5	-5000	5	-5000	5	-5000	-5000	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	5	-10	5	5	-5000	-5000	5	5	5	-5000	5	5	-5000	5	5	5	5	5	5	5	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand mountain	21	mountain	134	0	sand	1	0	10	-5000	-10	-5000	0	0	-5000	-5000	10	10	10	10	10	10	30	30	10	30	10	10	10	10	30	30	10	10	10	10	100	10	10	10	5	100	100	10	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	10	30	30	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	10	5	5	30	30	10	5	5	30	-5000	-5000	-5000	-5000	-5000	10	10	30	10	-5000	-5000	-5000	30	10	10	30	0	-5000	-5000	30	0	-5000	-5000	-5000	30	30	0	30	-5000	0	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	-5000	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	0	10	10	0	-5000	30
sand tree	22	tree	155	0	sand	1	-5000	5	5	-5000	10	-5000	-5000	-5000	-5000	-5000	5	5	-10	5	5	5	5	-5000	5	-10	5	-5000	-5000	5	5	-5000	-5000	5	5	5	5	5	5	-5000	5	5	5	-5000	5	5	10	10	5	5	5	-5000	5	10	5	30	30	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	30	30	30	10	10	30	-5000	30	30	30	10	10	-5000	10	5	5	5	5	5	-5000	10	5	5	5	-5000	5	5	-5000	5	10	-5000	10	-5000	-5000	5	5	5	-5000	5	5	10	5	-5000	-5000	-5000	-5000	-5000	5	5	-5000	10	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand skull	23	skull	151	0	sand	1	5	5	5	5	5	5	5	5	-5000	5	5	5	-5000	5	5	5	5	-5000	5	-5000	5	-5000	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	-5000	-5000	5	5	5	-5000	5	-5000	5	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	-5000	-5000	-5000	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	10	10	5	5	5	5	5	5	5	5	5	10	10	5	10	5	5	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand sand pit	24	sand pit	149	0	sand	1	-5000	5	-5000	-5000	-5000	-5000	5	-5000	-5000	-5000	10	10	-5000	-5000	10	10	10	-5000	10	-5000	10	-5000	10	10	10	-5000	5	5	5	5	5	5	5	5	5	5	5	-5000	5	5	-5000	-5000	-10	5	5	-5000	5	-5000	5	-5000	-5000	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	5	-10	5	5	-5000	-5000	5	5	5	5	5	5	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand desert veg clump	25	desert veg clump	206	0	sand	1	-5000	5	-5000	-5000	-5000	5	-5000	-5000	-5000	-5000	5	5	10	-5000	5	5	5	-5000	5	10	5	-5000	-5000	5	5	-5000	5	5	10	5	-5000	5	5	10	5	5	10	-5000	5	5	10	-5000	5	5	5	-5000	5	10	5	-5000	-5000	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	-5000	-5000	10	5	5	10	-5000	-5000	10	10	5	5	-5000	10	10	5	5	5	5	-5000	5	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	-5000	5	5	-5000	10	10	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
sand crystal mine	26	mine	53	4	sand	1	0	10	-5000	-10	-5000	0	0	-5000	-5000	10	10	10	10	10	10	30	30	10	30	10	10	10	10	30	30	10	10	10	10	100	10	10	10	5	100	100	10	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	10	30	30	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	10	5	5	30	30	10	5	5	30	-5000	-5000	-5000	-5000	-5000	10	10	30	10	-5000	-5000	-5000	30	10	10	30	0	-5000	-5000	30	0	-5000	-5000	-5000	30	30	0	30	-5000	0	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	-5000	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	0	10	10	0	-5000	30
sand gold mine	27	mine	53	6	sand	1	0	10	-5000	-10	-5000	0	0	-5000	-5000	10	10	10	10	10	10	30	30	10	30	10	10	10	10	30	30	10	10	10	10	100	10	10	10	5	100	100	10	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	10	30	30	10	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	10	5	5	30	30	10	5	5	30	-5000	-5000	-5000	-5000	-5000	10	10	30	10	-5000	-5000	-5000	30	10	10	30	0	-5000	-5000	30	0	-5000	-5000	-5000	30	30	0	30	-5000	0	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	-5000	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	-5000	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	0	10	10	0	-5000	30
