			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Flyg	Flyg	5	 	 	 	x	20	15	15	15	0	60	60	80	100	0	16	16	16	16	12	0	0	13	30	30	40	50	"{Flyg}

Låter din armé använda delar av sin förflyttning till att flyga över hinder. Du måste landa vid slutet av rundan.
"	"{Grundläggande Flyg}

Låter din armé använda delar av sin förflyttning till att flyga över hinder. Du måste landa vid slutet av rundan.
"	"{Avancerad Flyg}

Låter din armé använda merparten av sin förflyttning till att flyga över hinder. Du måste landa vid slutet av rundan.
"	"{Sofistikerad Flyg}

Låter din armé använda hela sin förflyttning till att flyga över hinder. Du måste landa vid slutet av rundan.
"	 ADV_SPELL
Vattenpromenad	Vattenpromenad	4	 	x	 	 	12	8	8	8	0	60	60	80	100	10	10	10	10	10	10	0	0	10	15	15	20	25	"{Vattenpromenad}

Låter din armé använda delar av sin förflyttning till att korsa vattendrag. Du måste avsluta din förflyttning på torra land.
"	"{Grundläggande Vattenpromenad}

Låter din armé använda delar av sin förflyttning till att korsa vattendrag. Du måste avsluta din förflyttning på torra land.
"	"{Avancerad Vattenpromenad}

Låter din armé använda merparten av sin förflyttning till att korsa vattendrag. Du måste avsluta din förflyttning på torra land.
"	"{Sofistikerad Vattenpromenad}

Låter din armé använda hela sin förflyttning till att korsa vattendrag. Du måste avsluta din förflyttning på torra land.
"	 ADV_SPELL
Dimensionsdörr	Dimensionsdörr	5	 	 	 	x	25	20	20	20	0	1	2	3	4	0	20	14	16	16	16	0	0	13	30	30	40	50	"{Dimensionsdörr}

En gång om dagen får du teleportera din hjälte till en synlig, oupptagen plats på äventyrskartan.
"	"{Grundläggande Dimensionsdörr}

Två gånger om dagen får du teleportera din hjälte till en synlig, oupptagen plats på äventyrskartan.
"	"{Avancerad Dimensionsdörr}

Tre gånger om dagen får du teleportera din hjälte till en synlig, oupptagen plats på äventyrskartan.
"	"{Sofistikerad Dimensionsdörr}

Fyra gånger om dagen får du teleportera din hjälte till en synlig, oupptagen plats på äventyrskartan.
"	 ADV_SPELL
Stadsportal	Stadsportal	4	x	 	 	 	16	12	12	12	0	0	0	0	0	10	10	10	10	10	10	0	0	10	5	5	70	70	"{Stadsportal}

Teleporterar din hjälte till närmaste vänliga stad.  Staden måste vara ledig.
"	"{Grundläggande Stadsportal}

Teleporterar din hjälte till närmaste vänliga stad.  Staden måste vara ledig.
"	"{Avancerad Stadsportal}

Teleporterar din hjälte till valfri vänliga stad.  Staden måste vara ledig.
"	"{Sofistikerad Stadsportal}

Teleporterar din hjälte till valfri vänliga stad.  Staden måste vara ledig.
"	 ADV_SPELL
																																	
Combat Spells																																	
																																	
Kvicksand	Kvicksand	2	x	 	 	 	8	6	6	6	0	0	0	0	0	4	4	6	4	4	4	6	6	4	1	1	1	1	"{Kvicksand}

Placerar slumpmässigt ut fyra små stråk kvicksand på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Att vandra in i kvicksana avslutar en enhets förflyttning för draget och gör den synlig för alla.
"	"{Grundläggande Kvicksand}

Placerar slumpmässigt ut fyra små stråk kvicksand på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Att vandra in i kvicksana avslutar en enhets förflyttning för draget och gör den synlig för alla.
"	"{Avancerad Kvicksand}

Placerar slumpmässigt ut sex små stråk kvicksand på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Att vandra in i kvicksana avslutar en enhets förflyttning för draget och gör den synlig för alla.
"	"{Sofistikerad Kvicksand}

Placerar slumpmässigt ut åtta små stråk kvicksand på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Att vandra in i kvicksana avslutar en enhets förflyttning för draget och gör den synlig för alla.
"	 COMBAT_SPELL|LOCATION_TARGET
Landmina	Landmina	3	 	 	x	 	18	15	15	15	10	25	25	50	100	8	8	8	6	8	12	8	2	4	1	1	1	1	"{Landmina}

Placerar slumpmässigt ut fyra små ytor med landminor på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Den åsamkar skada på en enhet som vandrar över den.
"	"{Grundläggande Landmina}

Placerar slumpmässigt ut fyra små ytor med landminor på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Den åsamkar skada på en enhet som vandrar över den.
"	"{Avancerad Landmina}

Placerar slumpmässigt ut sex små ytor med landminor på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Den åsamkar skada på en enhet som vandrar över den.

Åsamkad skada är 25 poäng mer än Grundläggande Land Mine.
"	"{Sofistikerad Landmina}

Placerar slumpmässigt ut åtta små ytor med landminor på slagfältet som bara är synliga för kastaren och varelser hemmavarande i terrängen.  Den åsamkar skada på en enhet som vandrar över den.

Åsamkad skada är 75 poäng mer än Grundläggande Land Mine.
"	 COMBAT_SPELL|LOCATION_TARGET
Kraftfält	Kraftfält	3	x	 	 	 	12	9	9	9	0	0	0	0	0	4	4	8	2	8	8	4	4	8	1	1	1	1	"{Kraftfält}

Placerar ett litet kraftfält på slagfältet på en punkt specificerad av kastaren. 
"	"{Grundläggande Kraftfält}

Placerar ett litet kraftfält på slagfältet på en punkt specificerad av kastaren. 
"	"{Avancerad Kraftfält}

Placerar ett mellanstort kraftfält på slagfältet på en punkt specificerad av kastaren.
"	"{Sofistikerad Kraftfält}

Placerar ett mellanstort kraftfält på slagfältet på en punkt specificerad av kastaren.
"	 COMBAT_SPELL|LOCATION_TARGET
Eldmur	Eldmur	2	 	 	x	 	8	6	6	6	10	10	10	20	50	4	4	4	12	4	4	4	4	8	1	1	1	1	"{Eldmur}

Places a small wildfire on the battlefield at a point specified by the caster.  Any units passing through the wall take damage.
"	"{Grundläggande Eldmur}

Placerar en liten löpeld på slagfältet på en punkt specificerad av kastaren.  En enhet som passerar genom eldmuren tar skada.
"	"{Avancerad Eldmur}

Placerar en mellanstor löpeld på slagfältet på en punkt specificerad av kastaren.  En enhet som passerar genom eldmuren tar skada.
"	"{Sofistikerad Eldmur}

Placerar en mellanstor löpeld på slagfältet på en punkt specificerad av kastaren.  En enhet som passerar genom eldmuren tar skada.
"	 COMBAT_SPELL|LOCATION_TARGET
Jordbävning	Jordbävning	3	x	 	 	 	20	17	17	17	1	2	2	3	4	4	8	4	6	4	4	4	50	4	1	1	1	1	"{Earthquake}

Skadar slumpmässigt två sektioner slottsmur i strid.
"	"{Grundläggande Jordbävning}

Skadar slumpmässigt två sektioner slottsmur i strid.
"	"{Avancerad Jordbävning}

Skadar slumpmässigt tre sektioner slottsmur i strid.
"	"{Sofistikerad Jordbävning}

Skadar slumpmässigt fyra sektioner slottsmur i strid.
"	 COMBAT_SPELL
Magisk Pil	Magisk Pil	1	x	x	x	x	5	4	4	4	10	10	10	20	30	30	30	30	30	30	30	30	30	30	10	10	10	10	"{Magisk Pil}

Causes a bolt of magical energy to strike the selected unit.
"	"{Grundläggande Magisk Pil}

Causes a bolt of magical energy to strike the selected unit.
"	"{Avancerad Magisk Pil}

Causes a bolt of magical energy to strike the selected unit.

Damage inflicted is 10 points more than Grundläggande Magic Arrow.
"	"{Sofistikerad Magisk Pil}

Causes a bolt of magical energy to strike the selected unit.

Damage inflicted is 20 points more than Grundläggande Magic Arrow.
"	 COMBAT_SPELL|CREATURE_TARGET
Ispil	Ispil	2	 	x	 	 	8	6	6	6	20	10	10	20	50	50	50	6	0	6	6	4	50	25	20	20	20	20	"{IsÅskblixt}

Drains the body heat from the selected enemy unit.
"	"{Grundläggande Ispil}

Drains the body heat from the selected enemy unit.
"	"{Avancerad Ispil}

Drains the body heat from the selected enemy unit.

Damage inflicted is 10 points more than Grundläggande Ice Bolt.
"	"{Sofistikerad Ispil}

Drains the body heat from the selected enemy unit.

Damage inflicted is 40 points more than Grundläggande Ice Bolt.
"	 COMBAT_SPELL|CREATURE_TARGET
Åskblixt	Åskblixt	2	 	 	 	x	10	8	8	8	25	10	10	20	50	4	4	50	20	6	50	50	4	25	25	25	25	25	"{Åskblixt}

Causes a bolt of lightning to strike the selected unit.
"	"{Grundläggande Åskblixt}

Causes a bolt of lightning to strike the selected unit.
"	"{Avancerad Åskblixt}

Causes a bolt of lightning to strike the selected unit.

Damage inflicted is 10 points more than Grundläggande Lightning Bolt.
"	"{Sofistikerad Åskblixt}

Causes a bolt of lightning to strike the selected unit.

Damage inflicted is 40 points more than Grundläggande Lightning Bolt.
"	 COMBAT_SPELL|CREATURE_TARGET
Implosion	Implosion	5	x	 	 	 	30	25	25	25	75	100	100	200	300	0	16	14	16	20	12	0	0	13	75	75	75	75	"{Implosion}

Inflicts massive damage to a single creature stack.
"	"{Grundläggande Implosion}

Inflicts massive damage to a single creature stack.
"	"{Avancerad Implosion}

Inflicts massive damage to a single creature stack.

Damage inflicted is 100 points more than Grundläggande Implosion.
"	"{Sofistikerad Implosion}

Inflicts massive damage to a single creature stack.

Damage inflicted 200 points more than Grundläggande Implosion.
"	 COMBAT_SPELL|CREATURE_TARGET
Kedjeblixt	Kedjeblixt	4	 	 	 	x	24	20	20	20	40	25	25	50	100	10	10	10	10	10	10	0	0	10	75	75	75	75	"{Kedjeblixt}

Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.  Strikes four units.
"	"{Grundläggande Kedjeblixt}

Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.  Strikes four units.
"	"{Avancerad Kedjeblixt}

Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.  Strikes five units.

Base Damage inflicted is 25 points more than Grundläggande Chain Lightning.
"	"{Sofistikerad Kedjeblixt}

Fires a bolt of lightning at the selected unit which then travels to the nearest adjacent unit, inflicting half damage before traveling to the next adjacent unit, again inflicting half damage, etc.  Strikes five units.

Base Damage inflicted is 75 points more than Grundläggande Chain Lightning.
"	 COMBAT_SPELL|CREATURE_TARGET
Frostring	Frostring	3	 	x	 	 	12	9	9	9	10	15	15	30	60	16	16	16	0	12	12	12	4	12	12	12	12	12	"{Frostring}

Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.
"	"{Grundläggande Frostring}

Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.
"	"{Avancerad Frostring}

Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.

Damage inflicted is 15 points more than Grundläggande Frost Ring.
"	"{Sofistikerad Frostring}

Drains the body heat of any units adjacent to the target location, without inflicting damage on the target.

Damage inflicted is 45 points more than Grundläggande Frost Ring.
"	 COMBAT_SPELL|LOCATION_TARGET
Eldklot	Eldklot	3	 	 	x	 	15	12	12	12	10	15	15	30	60	8	8	8	50	12	16	12	2	12	15	15	15	15	"{Eldklot}

Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.
"	"{Grundläggande Eldklot}

Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.
"	"{Avancerad Eldklot}

Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.

Damage inflicted is 15 points more than Grundläggande Fireball.
"	"{Sofistikerad Eldklot}

Causes the selected target to burst into flames, inflicting fire damage to the target and any adjacent units.

Damage inflicted is 45 points more than Grundläggande Fireball.
"	 COMBAT_SPELL|LOCATION_TARGET
Inferno	Inferno	4	 	 	x	 	16	12	12	12	10	20	20	40	80	5	5	5	10	5	5	0	0	10	20	20	20	20	"{Inferno}

Causes a huge blast of fire to strike the selected target.  Don't be near this when it goes off!
"	"{Grundläggande Inferno}

Causes a huge blast of fire to strike the selected target.  Don't be near this when it goes off!
"	"{Avancerad Inferno}

Causes a huge blast of fire to strike the selected target.  Don't be near this when it goes off!

Damage inflicted is 20 points more than Grundläggande Inferno.
"	"{Sofistikerad Inferno}

Causes a huge blast of fire to strike the selected target.  Don't be near this when it goes off!

Damage inflicted is 60 points more than Grundläggande Inferno.
"	 COMBAT_SPELL|LOCATION_TARGET
Meteorregn	Meteorregn	4	x	 	 	 	16	12	12	12	25	25	25	50	100	10	10	10	10	10	10	0	0	10	37	37	37	37	"{Meteorregn}

Causes a meteor shower to rain down on the selected target and any adjacent units.
"	"{Grundläggande Meteorregn}

Causes a meteor shower to rain down on the selected target and any adjacent units.
"	"{Avancerad Meteorregn}

Causes a meteor shower to rain down on the selected target and any adjacent units.

Damage inflicted is 25 points more than Grundläggande Meteor Shower.
"	"{Sofistikerad Meteorregn}

Causes a meteor shower to rain down on the selected target and any adjacent units.

Damage inflicted is 75 points more than Grundläggande Meteor Shower.
"	 COMBAT_SPELL|LOCATION_TARGET
Dödsstöt	Dödsstöt	2	x	 	 	 	10	8	8	8	5	10	10	20	30	0	0	0	0	50	0	0	0	0	20	20	20	20	"{Dödsstöt}

Sends a wave of death across the battlefield which damages all non-undead units.
"	"{Grundläggande Dödsstöt}

Sends a wave of death across the battlefield which damages all non-undead units.
"	"{Avancerad Dödsstöt}

Sends a wave of death across the battlefield which damages all non-undead units.

Damage inflicted is 10 points more than Grundläggande Death Ripple.
"	"{Sofistikerad Dödsstöt}

Sends a wave of death across the battlefield which damages all non-undead units.

Damage inflicted is 20 points more than Grundläggande Death Ripple.
"	 COMBAT_SPELL
Tillintetgör Odöda	Tillintetgör Odöda	3	 	 	 	x	15	12	12	12	10	10	10	20	50	12	8	8	2	0	4	4	2	4	40	40	40	40	"{Tillintetgör Odöda}

Attempts to destroy any undead creatures on the battlefield.
"	"{Grundläggande Tillintetgör Odöda}

Attempts to destroy any undead creatures on the battlefield.
"	"{Avancerad Tillintetgör Odöda}

Attempts to destroy any undead creatures on the battlefield.

Damage inflicted is 10 points more than Grundläggande Destroy Undead.
"	"{Sofistikerad Tillintetgör Odöda}

Attempts to destroy any undead creatures on the battlefield.

Damage inflicted is 40 points more than Grundläggande Destroy Undead.
"	 COMBAT_SPELL
Ragnarök	Ragnarök	4	 	 	x	 	24	20	20	20	50	30	30	60	120	0	0	0	5	5	10	0	0	0	100	100	100	100	"{Ragnarök}

Rains fire down upon the battlefield, damaging all units.
"	"{Grundläggande Ragnarök}

Rains fire down upon the battlefield, damaging all units.
"	"{Avancerad Ragnarök}

Rains fire down upon the battlefield, damaging all units.

Damage inflicted is 30 points more than Grundläggande Armageddon.
"	"{Sofistikerad Ragnarök}

Rains fire down upon the battlefield, damaging all units.

Damage inflicted is 90 points more than Grundläggande Armageddon.
"	 COMBAT_SPELL
Sköld	Sköld	1	x	 	 	 	5	4	4	4	0	85	85	70	70	10	3	5	3	10	5	5	5	5	10	10	20	20	"{Shield}

Shields a selected unit, reducing the amount of damage received from hand-to-hand attacks.
"	"{Grundläggande Sköld}

Shields a selected unit, reducing the amount of damage received from hand-to-hand attacks.
"	"{Avancerad Sköld}

Shields a selected unit, reducing the amount of damage received from hand-to-hand attacks.

Protection is twice that of Grundläggande Shield.
"	"{Sofistikerad Sköld}

Shields all friendly units, reducing the amount of damage received from hand-to-hand attacks.

Protection is twice that of Grundläggande Shield.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Luftskjöld	Luftskjöld	3	 	 	 	x	12	9	9	9	0	75	75	50	50	4	8	8	2	4	4	8	4	4	20	20	50	50	"{Luftskjöld}

Shields a selected unit, reducing the amount of damage received from ranged attacks.
"	"{Grundläggande Luftskjöld}

Shields a selected unit, reducing the amount of damage received from ranged attacks.
"	"{Avancerad Luftskjöld}

Shields a selected unit, reducing the amount of damage received from ranged attacks.

Protection is twice that of Grundläggande Luftskjöld.
"	"{Sofistikerad Luftskjöld}

Shields all friendly units, reducing the amount of damage received from ranged attacks.

Protection is twice that of Grundläggande Luftskjöld.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Eldskjöld	Eldskjöld	4	 	 	x	 	16	12	12	12	0	20	20	25	30	5	5	5	5	5	5	0	0	5	10	10	12	15	"{Eldskjöld}

Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the Eldskjöld will suffer damage equal to a portion of what it inflicts.
"	"{Grundläggande Eldskjöld}

Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the Eldskjöld will suffer damage equal to a portion of what it inflicts.
"	"{Avancerad Eldskjöld}

Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the Eldskjöld will suffer damage equal to a portion of what it inflicts.

Damage to attacking enemy units is 5% more than Grundläggande Eldskjöld.
"	"{Sofistikerad Eldskjöld}

Cast on a friendly unit, it does not provide any additional protection, but any enemy attacking through the Eldskjöld will suffer damage equal to a portion of what it inflicts.

Damage to attacking enemy units is 10% more than Grundläggande Eldskjöld.
"	 COMBAT_SPELL|CREATURE_TARGET
Skydd mot Luft	Prot. from Air	2		 	 	x	7	5	5	5	0	70	70	50	50	2	2	2	4	2	2	2	2	2	2	2	4	4	"{Skydd mot Luft}

Protects the selected unit, reducing damage received from Air spells.
"	"{Grundläggande Skydd mot Luft}

Protects the selected unit, reducing damage received from Air spells.
"	"{Avancerad Skydd mot Luft}

Protects the selected unit, reducing damage received from Air spells.

Protection is nearly twice that of Grundläggande Skydd mot Luft.
"	"{Sofistikerad Skydd mot Luft}

Protects the selected unit, reducing damage received from Air spells.

Protection is nearly twice that of Grundläggande Skydd mot Luft.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Skydd mot Eld	Prot. from Fire	1	 		x	 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Skydd mot Eld}

Protects the selected unit, reducing damage received from Fire spells.
"	"{Grundläggande Skydd mot Eld}

Protects the selected unit, reducing damage received from Fire spells.
"	"{Avancerad Skydd mot Eld}

Protects the selected unit, reducing damage received from Fire spells.

Protection is nearly twice that of Grundläggande Skydd mot Eld.
"	"{Sofistikerad Skydd mot Eld}

Protects the selected unit, reducing damage received from Fire spells.

Protection is nearly twice that of Grundläggande Skydd mot Eld.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prot. from Water	Prot. from Water	1	 	x		 	5	4	4	4	0	70	70	50	50	3	3	3	3	3	3	3	3	3	2	2	4	4	"{Skydd mot Vatten}

Protects the selected unit, reducing damage received from Water spells.
"	"{Grundläggande Skydd mot Vatten}

Protects the selected unit, reducing damage received from Water spells.
"	"{Avancerad Skydd mot Vatten}

Protects the selected unit, reducing damage received from Water spells.

Protection is nearly twice that of Grundläggande Skydd mot Vatten.
"	"{Sofistikerad Skydd mot Vatten}

Protects the selected unit, reducing damage received from Water spells.

Protection is nearly twice that of Grundläggande Skydd mot Vatten.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Prot. from Earth	Prot. from Earth	3	x	 	 		12	9	9	9	0	70	70	50	50	4	4	4	2	4	4	4	0	4	2	2	4	4	"{Skydd mot Jord}

Protects the selected unit, reducing damage received from Earth spells.
"	"{Grundläggande Skydd mot Jord}

Protects the selected unit, reducing damage received from Earth spells.
"	"{Avancerad Skydd mot Jord}

Protects the selected unit, reducing damage received from Earth spells.

Protection is  nearly twice that of Grundläggande Skydd mot Jord.
"	"{Sofistikerad Skydd mot Jord}

Protects the selected unit, reducing damage received from Earth spells.

Protection is  nearly twice that of Grundläggande Skydd mot Jord.
"	 COMBAT_SPELL|CREATURE_TARGET_2
Anti-Magi	Anti-Magi	3	x	 	 	 	15	12	12	12	0	4	4	5	6	12	8	8	4	8	8	12	10	12	10	10	15	20	"{Anti-Magi}

Protects the selected unit from all low level spells.
"	"{Grundläggande Anti-Magi}

Protects the selected unit from all low level spells.
"	"{Avancerad Anti-Magi}

Protects the selected unit all but the most powerful spells.
"	"{Sofistikerad Anti-Magi}

Protects the selected unit from all spells.
"	 COMBAT_SPELL|CREATURE_TARGET
Bryt Förtrollning	Bryt Förtrollning	1	 	x	 	 	5	4	4	4	0	0	0	0	0	10	10	10	10	10	10	10	10	10	3	3	3	3	"{Bryt Förtrollning}

Removes all spell effects from a friendly creature.
"	"{Grundläggande Bryt Förtrollning}

Removes all spell effects from a friendly creature.
"	"{Avancerad Bryt Förtrollning}

Removes all spell effects from a friendly or hostile creature.
"	"{Sofistikerad Bryt Förtrollning}

Removes all spell effects from all units on the battlefield.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Magic Mirror	Magic Mirror	5	 	 	 	x	25	20	20	20	0	20	20	30	40	0	16	14	0	0	12	0	0	13	12	12	18	24	"{Magic Mirror}

Reflects hostile spells towards a random enemy creature 20% of the time.
"	"{Grundläggande Magic Mirror}

Reflects hostile spells towards a random enemy creature 20% of the time.
"	"{Avancerad Magic Mirror}

Reflects hostile spells towards a random enemy creature 30% of the time.
"	"{Sofistikerad Magic Mirror}

Reflects hostile spells towards a random enemy creature 40% of the time.
"	 COMBAT_SPELL|CREATURE_TARGET
Kurera	Kurera	1	 	x	 	 	6	5	5	5	5	10	10	20	30	10	10	5	5	0	5	5	10	5	4	4	4	4	"{Kurera}

Removes all negative spell effects and heals a small number of hit points on the selected unit.
"	"{Grundläggande Kurera}

Removes all negative spell effects and heals a small number of hit points on the selected unit.
"	"{Avancerad Kurera}

Removes all negative spell effects and heals a small number of hit points on all friendly units.

Damage healed is 10 points more than Grundläggande Kurera.
"	"{Sofistikerad Kurera}

Removes all negative spell effects and heals a small number of hit points on all friendly units.

Damage healed is 20 points more than Grundläggande Kurera.
"	 COMBAT_SPELL|CREATURE_TARGET_1
Återupplivande	Återupplivande	4	x	 	 	 	20	16	16	16	50	40	40	80	160	10	10	10	10	10	10	0	0	5	50	50	60	120	"{Återupplivande}

Resurrects units in the selected group by restoring a fixed number of hit points to the target.
"	"{Grundläggande Återupplivande}

Resurrects units in the selected group by restoring a fixed number of hit points to the target.
"	"{Avancerad Återupplivande}

Resurrects units in the selected group by restoring a fixed number of hit points to the target.

Provides an additional 40 hit points over Grundläggande Återupplivande.
"	"{Sofistikerad Återupplivande}

Resurrects units in the selected group by restoring a fixed number of hit points to the target. 

Provides an additional 120 hit points over Grundläggande Återupplivande.
"	 COMBAT_SPELL|CREATURE_TARGET
Animera Döda	Animera Döda	3	x	 	 	 	15	12	12	12	50	30	30	60	160	0	0	0	0	16	0	0	0	0	60	60	60	120	"{Animera Döda}

Re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.
"	"{Grundläggande Animera Döda}

Re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.
"	"{Avancerad Animera Döda}

Re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.

Provides an additional 30 hit points over Grundläggande Animera Döda.
"	"{Sofistikerad Animera Döda}

Re-animates any destroyed undead in the selected group by restoring a fixed number of hit points to the target.

Provides an additional 130  hit points over Grundläggande Animera Döda.
"	 COMBAT_SPELL|CREATURE_TARGET
