	Description		
Water Magic	"{Basic Water Magic}

Basic Water Magic allows your hero to cast Water spells at reduced cost."	"{Advanced Water Magic}

Advanced Water Magic allows your hero to cast Water spells at reduced cost and increased effectiveness."	"{Expert Water Magic}

Expert Water Magic allows your hero to cast Water spells at reduced cost and maximum effectiveness."
Earth Magic	"{Basic Earth Magic}

Basic Earth Magic allows your hero to cast Earth spells at reduced cost."	"{Advanced Earth Magic}

Advanced Earth Magic allows your hero to cast Earth spells at reduced cost and increased effectiveness."	"{Expert Earth Magic}

Expert Earth Magic allows your hero to cast Earth spells at reduced cost and maximum effectiveness."
Scholar	"{Basic Scholar}

Basic Scholar allows heroes to teach each other 1st and 2nd level spells, effectively trading spells between spell books."	"{Advanced Scholar}

Advanced Scholar allows heroes to teach each other any spell up to 3rd level, effectively trading spells between spell books."	"{Expert Scholar}

Expert Scholar allows heroes to teach each other any spell up to 4th level, effectively trading spells between spell books."
Tactics	"{Basic Tactics}

Basic Tactics allows you to rearrange your troops just before combat, within three hex rows of the commanding hero."	"{Advanced Tactics}

Advanced Tactics allows you to rearrange your troops just before combat, within five hex rows of the commanding hero."	"{Expert Tactics}

Expert Tactics allows you to rearrange your troops just before combat, within seven hex rows of the commanding hero."
Artillery	"{Basic Artillery}

Basic Artillery gives control of the ballista to the hero, allowing two shots with a 50% chance to inflict double damage."	"{Advanced Artillery}

Advanced Artillery gives control of the ballista to the hero, allowing two shots with a 75% chance to inflict double damage."	"{Expert Artillery}

Expert Artillery gives control of the ballista to the hero, allowing two shots which inflict double damage."
Learning	"{Basic Learning}

Basic Learning increases a hero's earned experience by 5%."	"{Advanced Learning}

Advanced Learning increases a hero's earned experience by 10%."	"{Expert Learning}

Expert Learning increases a hero's earned experience by 15%."
Offense	"{Basic Offense}

Basic Offense increases all hand-to-hand damage inflicted by the hero's troops by 10%."	"{Advanced Offense}

Advanced Offense increases all hand-to-hand damage inflicted by the hero's troops by 20%."	"{Expert Offense}

Expert Offense increases all hand-to-hand damage inflicted by the hero's troops by 30%."
Armorer	"{Basic Armorer}

Basic Armorer reduces all damage inflicted against the hero's troops by 5%."	"{Advanced Armorer}

Advanced Armorer reduces all damage inflicted against the hero's troops by 10%."	"{Expert Armorer}

Expert Armorer reduces all damage inflicted against the hero's troops by 15%."
Intelligence	"{Basic Intelligence}

Basic Intelligence increases a hero's normal maximum spell points by 25%."	"{Advanced Intelligence}

Advanced Intelligence increases a hero's normal maximum spell points by 50%."	"{Expert Intelligence}

Expert Intelligence doubles a hero's normal maximum spell points."
Sorcery	"{Basic Sorcery}

Basic Sorcery causes a hero's spells to inflict an additional 5% damage in combat."	"{Advanced Sorcery}

Advanced Sorcery causes a hero's spells to inflict an additional 10% damage in combat."	"{Expert Sorcery}

Expert Sorcery causes a hero's spells to inflict an additional 15% damage in combat."
Resistance	"{Basic Resistance}

Basic Resistance endows a hero's troops with 5% magic resistance."	"{Advanced Resistance}

Advanced Resistance endows a hero's troops with 10% magic resistance."	"{Expert Resistance}

Expert Resistance endows a hero's troops with 20% magic resistance."
First Aid	"{Basic First Aid}

Basic First Aid gives control of the first aid tent to the hero, healing 50 points of damage to the first unit of the selected stack."	"{Advanced First Aid}

Advanced First Aid gives control of the first aid tent to the hero, healing 75 points of damage to the first unit of the selected stack."	"{Expert First Aid}

Expert First Aid gives control of the first aid tent to the hero, healing 100 points of damage to the first unit of the selected stack."
