	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Ajden	15	25	Imp	4	7	Gog	3	4	HellHound
Xyron	15	25	Imp	4	7	Gog	3	4	HellHound
Axis	15	25	Imp	4	7	Gog	3	4	HellHound
Olema	15	25	Imp	4	7	Gog	3	4	HellHound
Kallid	15	25	Imp	4	7	Gog	3	4	HellHound
Ash	15	25	Imp	4	7	Gog	3	4	HellHound
Zydar	15	25	Imp	4	7	Gog	3	4	HellHound
Xarfax	15	25	Imp	4	7	Gog	3	4	HellHound
Straker	4	6	Zombie	4	6	Zombie	4	6	Zombie
Vokial	20	30	Skeleton	4	6	Zombie	4	6	Wight
Moandor	20	30	Skeleton	4	6	Zombie	4	6	Wight
Karna	20	30	Skeleton	4	6	Wight	4	6	Wight
Tamika	20	30	Skeleton	4	6	Zombie	4	6	Wight
Isra	20	30	Skeleton	4	6	Zombie	4	6	Wight
Klavius	20	30	Skeleton	4	6	Zombie	4	6	Wight
Galtran	20	30	Skeleton	20	30	Skeleton	20	30	Skeleton
Septienna	20	30	Skeleton	4	6	Zombie	4	6	Wight
Aislinn	20	30	Skeleton	4	6	Zombie	4	6	Wight
Sandro	20	30	Skeleton	4	6	Zombie	4	6	Wight
Nimbus	20	30	Skeleton	4	6	Zombie	4	6	Wight
Tant	20	30	Skeleton	4	6	Zombie	4	6	Wight
Xsi	20	30	Skeleton	4	6	Zombie	4	6	Wight
Vidomina	20	30	Skeleton	4	6	Zombie	4	6	Wight
Nagash	20	30	Skeleton	4	6	Zombie	4	6	Wight
Lorelei	4	6	Harpy	4	6	Harpy	4	6	Harpy
Arlack	30	40	Troglodyte	1	1	Ballista	3	4	Beholder
Dejs	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Ajit	30	40	Troglodyte	3	4	Beholder	3	4	Beholder
Damakon	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Gunnar	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Synka	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Shakti	30	40	Troglodyte	30	40	Troglodyte	30	40	Troglodyte
Alamar	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Jäger	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Malekith	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Jeddite	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Geon	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Deemer	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Sephinroth	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Darkstorn	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Jog	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Göransson	15	25	Goblin	1	1	Ballista	4	6	Orc
Jabarkas	15	25	Goblin	4	6	Orc	4	6	Orc
Skiva	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Gretchin	15	25	Goblin	15	25	Goblin	15	25	Goblin
Krellion	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Kragg Hack	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Tyraxor	5	7	GoblinWolfRider	5	7	GoblinWolfRider	5	7	GoblinWolfRider
Gerd	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Vey	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Dessa	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Terek	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Zubin	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Gunnela	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Oris	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Saurug	15	25	Goblin	5	7	GoblinWolfRider	4	6	Orc
Bron	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Drakon	10	20	Gnoll	10	20	Gnoll	10	20	Gnoll
Wystan	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman	4	7	PrimitiveLizardman
Tazar	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Alkin	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Korbac	10	20	Gnoll	2	4	SerpentFly	2	4	DragonFly
Gerwulf	10	20	Gnoll	1	1	Ballista	2	4	SerpentFly
Borghild	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Mirlanda	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Rosic	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Voy	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Verdish	10	20	Gnoll	1	1	FirstAidTent	2	4	SerpentFly
Merist	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Stig	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Andra	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Tova	10	20	Gnoll	4	7	PrimitiveLizardman	2	4	SerpentFly
Pasis	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Tunar	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Ignissa	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Lacus	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Monere	15	25	Pixies	3	5	Air Elementals	2	3	Air Elementals
Erdamon	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Fiur	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Kalt	15	25	Pixies	3	5	Water Elementals	1	2	Water Elementals
Luna	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Brissa	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Ciele	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Labetha	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Inteus	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Aenain	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Gelare	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Grindan	15	25	Pixies	3	5	Air Elementals	2	3	Water Elementals
Herr Mullich	10	20	Pikeman	4	7	Archer	2	3	Griffin
Adrienne	10	20	Gnoll	4	7	Lizardman	2	4	Serpent Fly
Katarina	10	20	Pikeman	4	7	Archer	2	3	Griffin
Drakon	6	6	Enchanters	3	3	Enchanters	1	1	Enchanters
Gelu	6	6	Sharpshooters	3	3	Sharpshooters	1	1	Sharpshooters
Kilgor	15	25	Goblins	5	7	Goblin Wolf Rider	4	6	Orc
Härskare Haart	20	30	Skeleton	4	6	Zombie	4	6	Wight
Mutare	30	40	Troglodyte	4	6	Harpy	3	4	Beholder
Yamaha	10	20	Pikeman	4	7	Archer	2	3	Griffin
Mutare Drake	10	20	Pikeman	4	7	Archer	2	3	Griffin
Boragus	10	20	Pikeman	4	7	Archer	2	3	Griffin
Xeron	10	20	Pikeman	4	7	Archer	2	3	Griffin
