	Description		
Nekromanti	"{Grundläggande Nekromanti}

Grundläggande Nekromanti låter 10% av alla varelser som dödats i en strid uppstå som Skelett."	"{Avancerad Nekromanti}

Avancerad Nekromanti låter 20% av alla varelser som dödats i en strid uppstå som Skelett."	"{Mästerlig Nekromanti}

Mästerlig Nekromanti låter 30% av alla varelser som dödats i en strid uppstå som Skelett."
Egendomar	"{Grundläggande Egendomar}

Med Egendomar tjänar en hjälte in 125 guld om dagen till dig."	"{Avancerade Egendomar}

Med Egendomar tjänar en hjälte in 250 guld om dagen till dig."	"{Mästerliga Egendomar}

Med Egendomar tjänar en hjälte in 500 guld om dagen till dig."
Eldmagi	"{Grundläggande Eldmagi}

Med Grundläggande Eldmagi kan din hjälte kasta Eldtrollformler till en lägre kostnad."	"{Avancerad Eldmagi}

Med Avancerad Eldmagi kan din hjälte kasta Eldtrollformler till en lägre kostnad och med högre effektivitet."	"{Mästerlig Eldmagi}

Med Mästerlig Eldmagi kan din hjälte kasta Eldtrollformler till en lägre kostnad och med maximal effektivitet."
Luftmagi	"{Grundläggande Luftmagi}

Med Grundläggande Luftmagi kan din hjälte kasta Lufttrollformler till en lägre kostnad."	"{Avancerad Luftmagi}

Med Avancerad Luftmagi kan din hjälte kasta Lufttrollformler till en lägre kostnad och med högre effektivitet."	"{Mästerlig Luftmagi}

Med Mästerlig Luftmagi kan din hjälte kasta Lufttrollformler till en lägre kostnad och med maximal effektivitet."
Vattenmagi	"{Grundläggande Vattenmagi}

Med Grundläggande Vattenmagi kan din hjälte kasta Vattentrollformler till en lägre kostnad."	"{Avancerad Vattenmagi}

Med Avancerad Vattenmagi kan din hjälte kasta Vattentrollformler till en lägre kostnad och med högre effektivitet."	"{Mästerlig Vattenmagi}

Med Mästerlig Vattenmagi kan din hjälte kasta Vattentrollformler till en lägre kostnad och med maximal effektivitet."
Jordmagi	"{Grundläggande Jordmagi}

Med Grundläggande Jordmagi kan din hjälte kasta Jordtrollformler till en lägre kostnad."	"{Grundläggande Jordmagi}

Med Avancerad Jordmagi kan din hjälte kasta Jordtrollformler till en lägre kostnad och med högre effektivitet."	"{Mästerlig Jordmagi}

Med Mästerlig Jordmagi kan din hjälte kasta Jordtrollformler till en lägre kostnad och med maximal effektivitet."
Lärare	"{Grundläggande Lärare}

Grundläggande Lärare låter dina hjältar lära varandra trollformler av första och andra nivån."	"{Avancerad Lärare}

Avancerad Lärare låter dina hjältar lära varandra trollformler upp till tredje nivån"	"{Mästerlig Lärare}

Mästerlig Lärare låter dina hjältar lära varandra trollformler upp till fjärde nivån."
Strategi	"{Grundläggande Strategi}

Grundläggande Strategi låter dig arrangera dina trupper innan strid, inom tre rutor från din hjälte."	"{Avancerad Strategi}

Avancerad Strategi låter dig arrangera dina trupper innan strid, inom fem rutor från din hjälte."	"{Mästerlig Strategi}

Mästerlig Strategi låter dig arrangera dina trupper innan strid, inom sju rutor från din hjälte."
Artilleri	"{Grundläggande Artilleri}

Grunläggande Artilleri ger dig kontroll över ballistan i strid, som låter dig avlossa två skott med 50% chans att utdela dubbel skada."	"{Avancerad Artilleri}

Avancerat Artilleri ger dig kontroll över ballistan i strid, som låter dig avlossa två skott med 75% chans att utdela dubbel skada."	"{Mästerligt Artilleri}

Mästerligt Artilleri ger dig kontroll över ballistan i strid, som låter dig avlossa två skott med dubbel skada."
Studieteknik	"{Grundläggande Studieteknik}

Grundläggande Studieteknik ökar din hjältes intjänade erfarenhetspoäng med 5%."	"{Avancerad Studieteknik}

Avancerad Studieteknik ökar din hjältes intjänade erfarenhetspoäng med 10%."	"{Mästerlig Studieteknik}

Mästerlig Studieteknik ökar din hjältes intjänade erfarenhetspoäng med 15%."
Offensiv	"{Grundläggande Offensiv}

Grundläggande Offensiv ökar dina truppers slagkraft med 10%."	"{Avancerad Offensiv}

Avancerad Offensiv ökar dina truppers slagkraft med 20%."	"{Mästerlig Offense}

Mästerlig Offensiv ökar dina truppers slagkraft med 30%."
Rustningsmide	"{Grundläggande Rustningsmide}

Grundläggande Rustningsmide reducerar all skada som vållas dina trupper med 5%."	"{Avancerat Rustningsmide}

Avancerat Rustningsmide reducerar all skada som vållas dina trupper med 10%."	"{Mästerligt Rustningsmide}

Mästerligt Rustningsmide reducerar all skada som vållas dina trupper med 15%."
Intelligens	"{Grundläggande Intelligens}

Grundläggande Intelligens ökar din hjältes maximala mängd trollformelspoäng med 25%."	"{Avancerad Intelligens}

Avancerad Intelligens ökar din hjältes maximala mängd trollformelspoäng med 50%."	"{Mästerlig Intelligens}

Mästerlig Intelligens fördubblar din hjältes maximala mängd trollformelspoäng."
Trolldom	"{Grundläggande Trolldom}

Grundläggande Trolldom gör att din hjältes trollformler vållar 5% extra skada i strid."	"{Avancerad Trolldom}

Avancerad Trolldom gör att din hjältes trollformler vållar 10% extra skada i strid."	"{Mästerlig Trolldom}

Mästerlig Trolldom gör att din hjältes trollformler vållar 15% extra skada i strid."
Motståndskraft	"{Grundläggande Motståndskraft}

Grundläggande Motståndskraft ger 5% motståndskraft till din hjältes trupper."	"{Avancerad Motståndskraft}

Avancerad Motståndskraft ger 10% motståndskraft till din hjältes trupper."	"{Mästerlig Moståndskraft}

Mästerlig Motståndskraft ger 20% motståndskraft till din hjältes trupper."
Första Hjälpen	"{Grundläggande Första Hjälpen}

Grundläggande Första Hjälpen ger dig kontroll över första hjälpen-tältet som kan hela 50 poäng av skada hos en valfri varelse i strid."	"{Avancerad Första Hjälpen}

Avancerad Första Hjälpen ger dig kontroll över första hjälpen-tältet som kan hela 75 poäng av skada hos en valfri varelse i strid."	"{Mästerlig Första Hjälpen}

Mästerlig Första Hjälpen ger dig kontroll över första hjälpen-tältet som kan hela 100 poäng av skada hos en valfri varelse i strid."
